favouritesCount,followers,location,mediaCount,name,createdAt,lang,likeCount,quoteCount,replyCount,retweetCount,retweettext,retweet/type,retweet/viewCount,retweetCount,text,viewCount
22181,10835906,"Seattle, WA",4141,Starbucks,Sat Jun 24 01:49:54 +0000 2023,,,,,,,,,3562,"@JYPETWICE For those asking, here's what Twice ordered while in Seattle:

Jeongyeon: Peach Tranquility Tea

Momo: Caramel Ribbon Crunch Frappuccino® Beverage

Sana: Vanilla Sweet Cream Cold Brew (sweet cream on the side)

Jihyo: Iced Latte",699935
22181,10835906,"Seattle, WA",4141,Starbucks,Sat Jun 24 01:55:30 +0000 2023,,,,,,,,,2855,"@JYPETWICE 
Nayeon: Mango Dragonfruit Starbucks Refreshers beverage and Iced Vanilla Oatmilk Latte

Mina: Pineapple Passionfruit Lemonade Starbucks Refreshers Beverage

Dahyun: Chocolate Mocha Cookie Crumble Crème Frappuccino® Beverage

Chaeyoung: Iced Americano

Tzuyu: Iced Americano",877783
22181,10835906,"Seattle, WA",4141,Starbucks,Wed May 31 21:50:47 +0000 2023,,,,,,,,,618,behind every hot girl there is a deep history of shaking their iced coffee mid-conversation,649913
22181,10835906,"Seattle, WA",4141,Starbucks,Tue May 30 15:00:00 +0000 2023,,,,,,,,,68,That was so nice of yesterday you to start steeping the cold brew for today you.,261395
22181,10835906,"Seattle, WA",4141,Starbucks,Tue May 23 21:58:31 +0000 2023,en,140,1,25,23,Just got way too excited over the Starbucks summer game being back,tweet,150092,23,RT @s_poons21: Just got way too excited over the Starbucks summer game being back,150092
22181,10835906,"Seattle, WA",4141,Starbucks,Tue May 23 15:00:00 +0000 2023,,,,,,,,,55,"Introducing Starbucks® Green Apron Blend™—a new
coffee created by our baristas. This blend is their vision of the perfect cup: lightly roasted, sweet and balanced. Pick up a bag at your Starbucks café and enjoy it at home hot or iced—just like those who wear the green apron do. https://t.co/37IqGA8iBP",176231
22181,10835906,"Seattle, WA",4141,Starbucks,Mon May 15 16:01:41 +0000 2023,,,,,,,,,336,Manifesting sunny coffee walks. ☀️,299307
22181,10835906,"Seattle, WA",4141,Starbucks,Fri May 12 20:49:46 +0000 2023,,,,,,,,,154,"Sometimes you're a bumblebee, sometimes you're a derpy cat. Either way, you're sweet. 🐝",627111
22181,10835906,"Seattle, WA",4141,Starbucks,Fri May 12 15:00:01 +0000 2023,,,,,,,,,121,A deliciously dreamy kinda cold brew. 🤍 NEW White Chocolate Macadamia Cream Cold Brew. (US &amp; Canada) https://t.co/ghABrFMos0,243106
22181,10835906,"Seattle, WA",4141,Starbucks,Thu May 11 22:00:16 +0000 2023,en,336,6,22,31,The white chocolate macadamia cream cold brew from Starbucks changed my life,tweet,179308,31,RT @DaynatheSloth: The white chocolate macadamia cream cold brew from Starbucks changed my life,179308
22181,10835906,"Seattle, WA",4141,Starbucks,Tue May 09 12:59:45 +0000 2023,,,,,,,,,113,Only lost in flavor. 🗺 Explore the NEW Chocolate Java Mint Frappuccino® Drink. (US &amp; Canada) https://t.co/6RIvI3jLd9,387972
22181,10835906,"Seattle, WA",4141,Starbucks,Fri May 05 16:00:03 +0000 2023,,,,,,,,,27,"Kindness is in the big and small moments. ​

Join us and find easy ways to spread kindness with help from our friends at Born This Way Foundation (@BTWFoundation) and their #BeKind365 Kindness Generator. https://t.co/VwsuoSLAeM https://t.co/iwQFc5uJ8W",205168
22181,10835906,"Seattle, WA",4141,Starbucks,Tue May 02 22:00:00 +0000 2023,,,,,,,,,155,"Join us in celebrating #AAPIHeritageMonth. We’re proud to support @ACRSNEWS, a nonprofit that provides community support like food donation that advances the well-being of Asian and Pacific Islanders. https://t.co/E8nnKyfFtG",196554
22181,10835906,"Seattle, WA",4141,Starbucks,Mon May 01 22:37:35 +0000 2023,,,,,,,,,26,We're proud to be the exclusive coffee of the 2023 #MetGala and a sponsor of the @voguemagazine livestream. Tune in here: https://t.co/FOO6DQ1zw3,203656
22181,10835906,"Seattle, WA",4141,Starbucks,Fri Apr 21 17:10:53 +0000 2023,,,,,,,,,137,https://t.co/gNj09ZGTWx,500875
22181,10835906,"Seattle, WA",4141,Starbucks,Thu Apr 20 17:57:14 +0000 2023,,,,,,,,,165,when the dating apps aren’t working so it’s time to sit on the Starbucks patio with a cute puppy,274107
22181,10835906,"Seattle, WA",4141,Starbucks,Wed Apr 19 16:06:35 +0000 2023,en,999,29,16,277,"One thing about me, if I’m already late I’m going to Starbucks",tweet,203352,277,"RT @csweetnsour: One thing about me, if I’m already late I’m going to Starbucks",203352
